protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_COL4A4.1.1.m.30919,-0.0211858883137891,0.00356364604138187,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COL6A6.1.2.m.39071,0.00704300078291582,-0.00688594456133967,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000003.m.1,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000121.m.127,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000189.m.198,0.00107912507893345,-0.0146476074946013,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000227.m.218,-0.00708852835225928,-0.00629112736454785,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000437.m.416,-0.00410845156384341,0.0179059931538876,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001114.m.1165,-0.00942152163988152,-0.0184428856933976,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001129.m.1188,-0.0109728991161083,-0.0107941746457517,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001251.m.1283,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001305.m.1337,0.00106275024607652,0.0145968467734235,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001317.m.1351,-0.0139451414047841,-0.0141497019799749,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001413.m.1466,0.00205195042830453,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001477.m.1562,0.00769888627157519,0.00209305833444552,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001544.m.1660,0.00191165933247933,0.0117248336569076,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001740.m.1863,0.00748650218300219,0.00917933034618519,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_001932.m.2147,-0.00304934814350264,0.00185859236628312,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002228.m.2410,-0.000278591675639429,-0.00252358873649289,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002245.m.2431,0.0174535166840746,-0.00653208318737547,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002279.m.2484,0.0213934059787198,-0.0139098926107975,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002305.m.2519,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002327.m.2549,0.00789693283407267,-0.00605072572198191,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002369.m.2605,0.00716934226846373,-0.0170804498109438,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002417.m.2661,0.0124298995629213,0.00514973739751876,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002558.m.2814,-0.018621426154372,-0.00102404695299956,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002568.m.2819,-0.0107711892557413,0.0136887547959706,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002597.m.2856,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002691.m.2966,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002715.m.2994,0.00589331413524918,0.0138188257123802,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002718.m.2999,0.00961673760231462,-0.00553107584252206,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002734.m.3017,-0.011525494599769,-0.000264516716152865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002762.m.3056,0.000686232728993108,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002806.m.3116,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002826.m.3144,0.02088653853638,0.00566611945305775,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002896.m.3210,-0.00929351567397456,0.000178913514124063,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002989.m.3291,0.00491588973115351,-0.000600714720400962,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002999.m.3300,0.00587065282077404,-0.0164783558913906,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003050.m.3358,0.00246271322293011,-0.0160591404512627,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003161.m.3509,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003213.m.3589,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003275.m.3667,0.00604667469316182,0.0045965161091957,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003319.m.3735,0.00608581606075228,0.000155284478284972,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003356.m.3782,0.000686232728993108,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003460.m.3916,0.00944411489256717,0.0110407411522613,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003549.m.4007,0.00992669040327624,-0.0165149290718198,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003595.m.4058,0.0095488074339429,0.0133144955991473,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003670.m.4147,0.0169293248524891,-0.00921728986622284,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003695.m.4176,-0.0109768534494858,0.000160029048827186,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003840.m.4375,-0.00350833865514518,0.0170338283107179,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003882.m.4416,0.00830038399200344,-0.0146295576072722,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_003956.m.4511,0.00670765747149452,-0.0261096421246361,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004011.m.4571,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004045.m.4615,0.00361259312683475,-0.0186311562374427,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004193.m.4802,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004202.m.4814,-0.00872247102101568,-0.000782845858658366,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004338.m.4955,-0.00104396005300051,-0.0145231371769969,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004401.m.5025,0.0129093179164011,0.00965533327512585,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004461.m.5117,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004474.m.5130,-0.0163191797384386,-0.00931203772948774,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004504.m.5173,1.08522397578674e-05,-0.012773784353461,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004513.m.5183,0.00678620130084428,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004594.m.5279,0.0197509846981705,-0.0147541101446587,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004609.m.5296,0.0177299415224285,0.012207013845047,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004652.m.5338,-0.00915122234325571,0.00676730054748459,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004751.m.5446,0.000686232728993108,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004756.m.5453,0.000360951671912743,-0.0151042617144354,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004795.m.5507,0.0180423467879891,0.0100793171544939,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004820.m.5529,0.00998644341381967,-0.0142641417862396,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004853.m.5555,0.0160018838432462,0.00635995222335431,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004869.m.5573,-0.00584695523121987,-0.00818049656831966,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004890.m.5604,-0.0138850897350083,-0.00804242304461163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004925.m.5642,0.0143445360873519,0.00495870507453136,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004972.m.5699,-0.00550664904603897,-0.00686941933548351,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004987.m.5716,0.00430453092365758,-0.0218687721424492,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004993.m.5721,0.0206980226512968,-0.00136028697038973,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005029.m.5761,-0.00706614901467839,-0.00425124181990722,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005134.m.5869,0.00510416765757106,0.00755577252139743,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005396.m.6126,0.0120694034433665,0.00622694482326184,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005454.m.6186,0.00491588973115351,-0.000600714720400963,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005583.m.6332,0.0182422626428238,-0.000152595172017263,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005659.m.6448,-0.00259426487861227,0.00701685053870826,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005830.m.6680,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005858.m.6708,-0.000760862909747721,0.0166958710568119,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005908.m.6759,-0.0219912524196254,0.00930669641707316,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005913.m.6764,-0.0120091115134428,-0.000845945755133005,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006063.m.6910,-0.00103773723158666,0.00284013179727104,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006084.m.6928,-0.00183446909804031,-0.0196608653450755,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006214.m.7057,0.00253224606487003,0.00687806559249619,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006293.m.7131,-0.0226437570729452,0.0101672765859108,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006299.m.7138,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006359.m.7206,0.00603215645832307,-0.00711081644647752,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006364.m.7211,-0.0232818775676262,0.00667208485861734,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006560.m.7472,-0.0155511184455951,-0.0137863120608831,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006640.m.7557,-0.00907483678947257,-0.00190989131409566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006758.m.7690,0.0035618126135868,-0.0200895059775535,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_006775.m.7711,-0.014182709602029,0.000619576837014182,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007032.m.8066,0.00342287500947869,-0.00576576767734686,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007082.m.8119,0.00369640434197759,0.0156716609132068,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007164.m.8244,0.0119798362264129,-0.00333793672306148,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007754.m.8963,0.000126482963781803,-0.0125274308017898,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007858.m.9121,-0.0156630489282184,0.00289944183670778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_007998.m.9259,-0.0225033217401186,0.000548195073767329,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008002.m.9263,-0.0228089269676292,0.00105291938380972,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008016.m.9273,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008030.m.9291,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008101.m.9378,0.00725473818059557,0.013104355199293,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008102.m.9380,0.00725558541635857,0.0131077204956768,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008114.m.9394,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008181.m.9453,0.0105368765781613,-0.00739359594473145,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008261.m.9575,-0.0225657692788492,0.00999051483140124,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008262.m.9576,-0.00268770976670113,-0.0125803302617046,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008307.m.9640,-0.0220062092466337,0.00450680559321428,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008452.m.9831,-0.0143685853420938,-0.00623865598973419,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008503.m.9899,-0.0227578076859537,0.00550779213008442,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008795.m.10231,-0.00180718374653781,0.00636844108622309,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008923.m.10388,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008926.m.10391,0.00764108644375982,-0.000294801276411914,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_008975.m.10444,-0.00701122808897908,0.00914273683571367,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009176.m.10652,0.00132272063735177,0.0208341892866637,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009196.m.10701,-0.0208543421719723,0.00713463062456803,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009315.m.10833,-0.00842697993403513,0.0117188334634711,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009651.m.11212,-0.00870317392199018,0.00449132499055333,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009697.m.11280,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009806.m.11429,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009817.m.11438,0.0031042113305195,0.000640314834817004,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009870.m.11509,0.00439980043654243,0.0125364929168202,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_009887.m.11524,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010011.m.11666,0.0101126946076857,0.00157481161192512,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010154.m.11827,0.00963979742815571,-0.00704664738597626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010181.m.11866,-0.0190720404587408,0.00535973380010797,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010226.m.11916,0.0165914326178601,-0.0198655508099465,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010233.m.11921,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010276.m.11960,-0.00715755270453725,-0.00274361035508807,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010354.m.12065,-0.0095185709665969,0.0019826317749665,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010487.m.12180,-0.0226322194484064,0.0101328032286251,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010532.m.12231,-0.015576670411784,0.0129012834493788,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010639.m.12333,0.021192546016071,-0.0136087211098658,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010659.m.12347,-0.00152029549222237,-0.01063966131012,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010674.m.12365,-0.0224480535479409,0.00981044305147316,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010687.m.12382,-0.0119931393656308,-0.0149768222497422,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010861.m.12544,-0.00134572758223508,0.0078180888702551,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_011170.m.12887,-0.0122120325952366,0.00237603838980439,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_011268.m.13012,0.00743041665468056,-0.00505323813258569,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_011571.m.13308,-0.00157145546021433,-0.000916932874170292,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012045.m.13814,-0.0190721271547775,-0.00307472512814353,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012068.m.13831,-0.00820023972458607,0.0147029410303434,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012079.m.13839,-0.00770747430080188,0.0116635349627016,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012255.m.14080,-0.00595588509953977,0.00994465457074033,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012395.m.14264,-0.00530179290790676,-0.00934095376809217,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012437.m.14312,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012819.m.14744,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_012962.m.14885,0.00986499098135584,0.00664148055859722,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013437.m.15402,0.00780228191103431,0.015647036925547,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013551.m.15499,-0.00200496745350891,-0.00771263461213345,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013622.m.15553,-0.0134657034953448,-0.0164805205164315,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013738.m.15666,0.0224773083069452,-0.0105939288645071,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013751.m.15674,-0.0150693261947149,0.0111186807989252,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013806.m.15731,0.0115235156867149,-0.0106256447339677,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_013837.m.15768,0.00559798504821053,0.00129119454033455,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014109.m.16087,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014152.m.16145,0.0177263366199754,-0.00824955947652099,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014205.m.16198,-0.00446024041645216,-0.0192825040768235,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014279.m.16311,0.00987562345100447,0.0199220544700917,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014296.m.16345,0.0165398921337723,-0.0181982588579929,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014354.m.16426,-0.00505569870549401,-0.00614622789578685,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014357.m.16429,-0.0162341394116545,0.00528602606042361,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014469.m.16593,-0.022563183506361,0.00998591643872037,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014479.m.16604,0.0225569527441194,-0.0106351598275775,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014529.m.16671,0.00814157431830068,0.00624829488022073,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014863.m.17135,0.00491588973115351,-0.000600714720400963,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014867.m.17143,0.00764890214170294,-0.000255109016878116,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014877.m.17157,0.00656940755357297,0.00158558383088422,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014947.m.17245,0.0166871780811228,-0.00699678619804385,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_014958.m.17266,0.0158992804361786,-0.013349467526239,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015023.m.17360,-0.00791762981477072,0.00866085337622815,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015209.m.17650,0.00964008186415664,-0.0102305707575784,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015341.m.17864,-0.0129137140746827,0.00298253744742585,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015391.m.17937,0.000499014139966903,0.00320104819729658,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015430.m.17979,-0.00472678789302398,-0.0127693339578603,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015439.m.17989,-0.0110103886113443,-0.0085118545164145,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015543.m.18138,0.0229228126427512,-0.0083990474130146,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015712.m.18387,0.0110863889380142,-0.00719520604874459,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015857.m.18578,0.00888516369358305,0.00770382748796386,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015918.m.18639,-0.0222561082915061,0.0095778483266396,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015923.m.18643,-0.0137741176181267,-0.0148334692651295,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_015931.m.18654,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016010.m.18750,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016017.m.18760,-0.00649942876619818,0.00241414629410047,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016020.m.18768,-0.01331447432907,0.00469962403541472,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016120.m.18916,-0.01001249679397,0.00668043678477831,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016292.m.19158,0.00655498565422742,0.00236367407329203,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016370.m.19270,0.0180349979514505,0.0116824901821019,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016375.m.19279,0.00728447515327847,-0.00859699652205333,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016405.m.19312,0.0154648297017582,-0.0184703482060218,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016540.m.19484,0.00987571108792398,0.0199198538745471,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016554.m.19499,0.0166480375374964,-0.0145360249181437,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016559.m.19503,-0.00621124686555993,-0.0223868777455053,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016589.m.19530,0.000905750340119355,0.00427152661353688,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016628.m.19586,-0.00439191511349862,0.00308116243545604,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016637.m.19603,0.00632027584525102,0.0142974924057118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016752.m.19715,0.00794565203222886,0.00868334334937409,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016762.m.19724,-0.0225918946019839,0.0100398308010428,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016854.m.19834,-0.000378004120773767,0.00960018572293825,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_017060.m.20058,-0.00439451831716885,0.0181295766628772,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_017672.m.20677,-0.00832201663789911,-0.00418506379173529,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_017941.m.21005,0.0220272013533766,-0.0139603643062481,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018098.m.21196,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018118.m.21239,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018645.m.21889,0.0230367027790527,-0.00756476625463955,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018676.m.21920,-0.0125932264423315,-0.00667858969898961,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018822.m.22082,-0.0113218588082708,-0.0203536623226917,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018956.m.22217,0.0156662539009336,-0.00800646580742944,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_018978.m.22243,0.00491588973115351,-0.000600714720400962,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019122.m.22406,0.00312624999398502,-0.0128507224494602,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019189.m.22478,-0.014154517819222,0.000584017434767232,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019238.m.22546,0.00284573123521182,0.00840499520850304,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019263.m.22580,0.00586549709733835,-0.0032766292011478,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019436.m.22745,0.00438489334186944,0.0104324298302568,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019571.m.22867,0.0177748482081347,-0.00269931992355627,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_019914.m.23170,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_020023.m.23276,0.00730346638212777,0.0155733347986746,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_020370.m.23576,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_020390.m.23600,-0.0154675057473727,-0.0155284454707745,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_020392.m.23606,-0.00475907913048221,0.000171574404619054,No,NA,NA,NA,NA,NA,NA,NA,NA
